ITEM CODE,PARTICULARS,SIZE,Weight
CKBR0005,FISH CHOWKI (GREEN),6", 6.1 
CKBR0008,STAND WITH BELLS,15", 4.9 
CKBR0009,PEACOCK 4 DIYA BELL,17.5", 5.8 
CKBR0013,GANESH ON RAT (YELLOW),9.5", 3.7 
CKBR0014,LAKSHMI SITTING,8.5", 2.6 
CKBR0015,RESTING GANESHA,6", 2.2 
CKBR0017,GANESHA WITH RAT ARMY,7", 2.2 
CKBR0019,PAGDI GANESHA,6.5", 1.6 
CKBR0021,SUN MASK (BROWN),9.5", 1.7 
CKBR0023,ELEPHANT LEG SQUARE CHOWKI,7.5", 10.41 
CKBR0024,RECTANGLE CHOWKI WITH BELL,15", 12.61 
CKBR0025,JALI STAND,20", 6.4 
CKBR0030,7 SIDE CHOWKI WITH 3 LEG,11.5", 7.1 
CKBR0031,ANNAM BIG LAMP,34", 10.6 
CKBR0033,BUDDHA FRAME ,11.5", 4.5 
CKBR0038,DIYA HANDLE (RED),12", 1.8 
CKBR0039,SQUARE CHOWKI SMALL,2", 2.3 
CKBR0044,ANNAM HANDLE LAMP,12", 2.2 
CKBR0045,ANNAM HANGING 7 LAMP,35", 2.6 
CKBR0049,LAKSHMI LAMP,7.5", 1 
CKBR0055,RECTANGLE CHOWKI SMALL,2", 1.6 
CKBR0057,HANDLE DIYA,2.5", 1 
CKBR0069,LAKSHMI DIYA(RED),10", 2.7 
CKBR0082,GANESHA LOTUS (S.W),11.5", 8.6 
CKBR0086,SHANKU GANESHA (S.W),7.5", 2.3 
CKBR0090,CHESS METAL BOARD,3", 4.5 
CKBR0093,BUDDHA ARCH (RED),34", 70.5 
CKBR0094,COW WITH CALF BIG,21", 27.83 
CKBR0104,ELEPHANT DOWN TRUCK,7.5", 5 
CKBR0105,ELEPHANT DOWN TRUCK,7.5", 5 
CKBR0106,ELEPHANT UP TRUCK (BROWN),13", 9.5 
CKBR0107,ELEPHANT UP TRUCK (BROWN),13", 9.8 
CKBR0108,ELEPHANT BIG WITH BELL,14.5", 16.66 
CKBR0109,ELEPHANT BIG WITH BELL,14.5", 17.07 
CKBR0112,PEACOCK READING GANESHA,9.5", 4.2 
CKBR0123,JALI STOOL (GREEN),27.5", 24.6 
CKBR0125,NATARAJA,32", 22 
CKBR0134,ANNAM 13 DIYA,25", 10.83 
CKBR0137,THREE STEP LAMP,25", 8.7 
CKBR0139,SARASWATHI ON LOTUS,12", 7.7 
CKBR0140,ANNAM LAMP WITH MANY DIYA,15", 4.6 
CKBR0143,KING CHOWKI GANESHA,11.5", 7.4 
CKBR0146,NATARAJA W/O ARCH,15", 3.6 
CKBR0148,OM GANESHA,13.5", 4 
CKBR0149,RADHA KRISHNA ,12", 4.7 
CKBR0150,GANESH LAKSHMI SARASWATHI URLI,14", 6.5 
CKBR0155,JHULA STAND,10", 2.7 
CKBR0157,LAKSHMI,7", 1.7 
CKBR0160,KNELLING ELEPHANT,8.5", 2.7 
CKBR0161,GANESHA WITH MOSAK,6", 1.54 
CKBR0163,MODERN COUPLE,6", 0.9 
CKBR0173,ELEPHANT PRESS LOCK,2.5", 0.2 
CKBR0180,DHISTRI GANESH SMALL,2.5", 0.1 
CKBR0189,BUDDHA,14", 7.4 
CKBR0197,BUDDHA WITH ARCH (GREEN),10.5", 4.4 
CKBR0198,GANESHA W/O BASE (GREEN&GOLD),9", 4.2 
CKBR0201,LAKSHMI (RED&GOLD),7.5", 1.92 
CKBR0203,ANNAM LAMP SQUARE BASE,12.5", 2.2 
CKBR0207,LAKSHMI (S.W),4", 0.8 
CKBR0209,LAKSHMI (S.W),5.5", 1.4 
CKBR0217,OM GANESHA (SAND FINISH),6", 1.5 
CKBR0219,RADHA KRISHNA (NEPALI FINISH),7", 1.7 
CKBR0221,COUPLE (GREEN),5.5", 1.1 
CKBR0224,GANESHA (BROWN),2.5", 0.5 
CKBR0231,DOOR KNOCK (BLACK),7.5", 1 
CKBR0233,MARIAMMAN STANDING,13", 2.7 
CKBR0234,MARIAMMAN STANDING,13", 2.7 
CKBR0238,SOFA GANESH BIG (RED),12.5", 12.39 
CKBR0239,TIGER (RED),6", 3.3 
CKBR0240,STANDING SARASWATHI,11.5", 3 
CKBR0241,GANESHA BLESSING (YELLOW),11.5", 8.3 
CKBR0243,SITTING SARASWATH,14.5", 9.8 
CKBR0246,COW JALI (RED),9", 2.4 
CKBR0248,SHANKU GANESH (RED),9", 2.3 
CKBR0251,ANCIENT COUPLE WALL HANGING,6.5", 0.6 
CKBR0252,LAKSHMI STANDING,9.5", 1.7 
CKBR0256,TIRUPATI BALAJI BIG,7.5", 1.5 
CKBR0257,TIRUPATI BALAJI SMALL,4.5", 0.8 
CKBR0259,MARIAMMAN SITTING,6.5", 1 
CKBR0260,MAHISHASUR AMMAN,6", 1.2 
CKBR0261,SOFA GANESH,4.5", 1.5 
CKBR0267,PANCHAMUKHI GANESH,4.5", 1.4 
CKBR0316,GANESHA MUSIC SET (7PCS),3.5", 2.7 
CKBR0351,RADHA KRISHNA TREE (RED),6.5", 1.5 
CKBR0352,MUSIC MAN SET HANGING (RED) (2),6", 0.6 
CKBR0365,SWASTHIK GANESH (GREEN),8.5", 1.3 
CKBR0370,NATARAJA (YELLOW),13.5", 4 
CKBR0371,KRISHNA WITH COW,9.5", 2.3 
CKBR0372,KANDISTRI GANESHA,9", 2.3 
CKBR0373,DANCING GANESHA (RED),9.5", 2.8 
CKBR0384,READING CHAIR GANESHA (BROWN),6.5", 1.6 
CKBR0385,HORSE WITH BASE (RED),5.5", 0.9 
CKBR0386,HORSE WITH WINGS (RED),9.5", 2.2 
CKBR0389,DEER (RED),9.5", 1.5 
CKBR0396,DOOR KNOCK,5", 0.6 
CKBR0411,LAKSHMI (BROWN),4", 0.5 
CKBR0420,SCOOTER,2.5", 0.2 
CKBR0425,DEER  DOOR KNOCK (GREEN),9", 0.9 
CKBR0460,GANESHA LOCK (GREEN),4.5", 0.4 
CKBR0475,3 FACE GANESH (GREEN),13.5", 7.94 
CKBR0476,BUDDHA SITTING WITH BASE,8", 2.02 
CKBR0478,2 FROG STANDING WITH UMBRELLA,10", 1.04 
CKBR0479,SITTING FROG WITH UMBRELLA,9", 1.3 
CKBR0481,MODERN ART MAN,6.5", 0.3 
CKBR0482,PEACOCK,6.5", 0.88 
CKBR0483,SITTING GANESH (RED),9", 2.48 
CKBR0484,SIVALINGAM WITH SNAKE (RED),6", 1.29 
CKBR0485,BUDDHA SITTING (BROWN),10.5", 3 
CKBR0492,MOSIKAN GANESH (RED),5.5", 1.26 
CKBR0495,T.NATARAJA,7.5", 1.2 
CKBR0497,GANESHA ARCH (RED),4.5", 0.78 
CKBR0498,GANESHA ,3.5", 0.62 
CKBR0501,SANGU GANESHA ,4.5", 1 
CKBR0502,MODERN ELEPHANT (RED),6", 1.9 
CKBR0503,STANDING BUDDHA,8", 0.76 
CKBR0504,KING GANESHA,6.5", 0.84 
CKBR0505,DANCING GANESH (RED),6.5", 1.66 
CKBR0506,SITTING KRISHNA,8", 1.76 
CKBR0509,LAKSHMI (RED),6", 1.14 
CKBR0510,PUPPY GANESHA (RED),4.5", 1.3 
CKBR0512,MODERN FLOWER POT,7", 1.8 
CKBR0513,MONA LISA WITH WOODEN BASE,16", 9.8 
CKBR0516,T.NATARAJA,19", 8.04 
