ITEM CODE,PARTICULARS,SIZE,Weight
CKIR0009,MUSICIAN CLOCK PEN STAND,15",NA
,,,
,,,
CKIR0015,UMBRELLA LADY (GOLD) (SET OF 2),15.5",NA
CKIR0018,AEROPLANE BIG,9",NA
CKIR0039,GIRAFFE,34",NA
CKIR0040,GIRAFFE (BENDED DOWN),31.5",NA
CKIR0046,ELEPHANT WITH BELLS,11",NA
CKIR0049,MUSIC COUPLE ON STAND,23.5",NA
CKIR0052,PAINTED WALKING ELEPHANT (B),16",NA
CKIR0053,PAINTED WALKING ELEPHANT (S),11.5",NA
CKIR0068,COCONUT TREE,17",NA
CKIR0070,MASHAL (SET OF 2),33.5",NA
CKIR0074,CAMEL BIG,11",NA
CKIR0077,PEACOCK TREE CLOCK,17.5",NA
CKIR0081,SITTING PEACOCK CLOCK,15",NA
CKIR0087,SCHOOL GIRL (SET OF 3),8",NA
CKIR0088,KALBALIA LADY (SET OF 3),8",NA
CKIR0097,ELEPHANT KEY HOOK,9",NA
CKIR0105,SARDAR MUSICIAN (SET OF 3),21",NA
CKIR0106,MOUSE MUSICIAN (SET OF 3),20",NA
CKIR0112,BIKE KEY HOOK (BLUE),10",NA
CKIR0122,PIPE MUSICIAN (SET OF 3),15.5",NA
CKIR0135,ANT RICKSHAW,11.5",NA
CKIR0137,TREE WITH LED (BLUE),43",NA
CKIR0141,LOTUS CANDLE STAND WITH GLASS (L),14",NA
CKIR0142,LOTUS CANDLE STAND WITH GLASS (M),11",NA
CKIR0158,CURL LADY SET,7",NA
CKIR0159,KRISHNA SET 4PC,11.5",NA
CKIR0164,FLOWER WALL HANGING FRAME,18",NA
CKIR0165,ELEPHANT BIG,21",NA
CKIR0166,ELEPHATNT SMALL,18",NA
CKIR0172,DOLL LEG HANGING SITING ON STOOL,10",NA
CKIR0173,DOLL LEG HANGING SITING ON STOOL,10",NA
CKIR0174,DOLL LEG HANGING SITING ON STOOL,10",NA
CKIR0175,DANCING LADY (BLACK),12.5",NA
CKIR0176,DANCING LADY (M.COLOUR),15.5",NA
CKIR0179,SARDAR CROSS LEG STANDING SET,18",NA
CKIR0181,CANON,5.5",NA
CKIR0202,SMALL GIRLS (SET OF 3),8",NA
CKIR0209,SARDHAR MUSICIAN STANDING BIG SET OF 3,23",NA
CKIR0218,BIRD WALL HANGING KEY HOOK,6",NA
CKIR0219,UMBRELLA KEY HOOK,6.5",NA
CKIR0231,KALBALIA LADY (SET OF 3),8",NA
CKIR0234,GANESH MUSICIAN (SET OF 3),9",NA
