ITEM CODE,PARTICULARS,SIZE,Weight
CKWD0002,WOOD BRASS SHEET STOOL SQUARE,16.5",NA
CKWD0004,WOOD BRASS SHEET STOOL HEXAGON,6.5",NA
CKWD0005,WOODEN PANEL SMALL BLUE,11.5",NA
CKWD0006,WOODEN PANEL SMALL RED,11.5",NA
CKWD0011,LAKSHMI PRABHA (COLOUR),18",NA
CKWD0012,SARASWATHI PRABHA (COLOUR),18",NA
CKWD0013,OVAL GANESHA (R.W),15",NA
CKWD0015,GLS BELL FRAME (COLOUR),18",NA
CKWD0018,D. LADY (R.W),18",NA
CKWD0019,D. LADY FRAME (R.W),18",NA
CKWD0027,HORSE HANGER (R.W),12",NA
CKWD0028,HORSE HANGER (R.W),12",NA
CKWD0042,ANNAM BOTHIL WALL BRACKETS (R.W),9",NA
CKWD0062,LAKSHMI (R.W),8",NA
CKWD0076,BOTHIL WALL BRACKETS (COLOUR),7",NA
CKWD0079,BUDDHA MASK (R.W),12",NA
CKWD0086,GLS PANEL (R.W),12",NA
CKWD0092,GAJA LAKSHMI PANEL (R.W),24",NA
CKWD0094,LAKSHMI ROUND PANEL (COLOUR),15",NA
CKWD0102,SARASWATHI (R.W),18",NA
CKWD0126,4 BOWL MEWA TRAY,5.5",NA
CKWD0131,BRASS SHEET ELEPHANT STOOL SMALL,8",NA
CKWD0133,BRASS FINISH KEY HOLDER BOX,11",NA
CKWD0139,MULTICOLOUR ELEPHANT PAINTED,8",NA
CKWD0142,PLAIN BRASS PHOTO FRAME,7.5",NA
CKWD0145,MANDIR (RED),24",NA
CKWD0151,PHOTO FRAME PAINTED (BLACK),10",NA
CKWD0157,SAYANA GANESH (R.W),11",NA
CKWD0161,DANCING PARVATHI (R.W),36",NA
CKWD0162,LAKSHMI NARAYANAR (R.W),18",NA
CKWD0163,PEACOCK (R.W),24",NA
CKWD0164,PEACOCK (R.W),25",NA
CKWD0173,KRISHNA WITH PRABHA (R.W),17",NA
CKWD0174,BALAJI (R.W),19",NA
CKWD0175,ELEPHANT KNEELING (R.W),15",NA
CKWD0191,JEWEL BOX,6"x4",NA
CKWD0193,JEWEL BOX WITH DRAWER,7"x4",NA
CKWD0194,WOOD GANESHA (R.W),36",NA
CKWD0201,PHOTO FRAME HAND PAINTED (BLUE),10"x8",NA
CKWD0202,WOOD CHOWKI,15",NA
CKWD0214,GANDHIJI STANDING,6",NA
CKWD0216,WOOD CARVING SPL CHESS BOARD WITH BRASS COINS,22",NA
CKWD0224,GANESHA WITH ARCH,17.5", 3 
,,,
,,,
CKWD0232,YALI  SITTING,12", 1.4 
CKWD0233,YALI  SITTING,12", 1.4 
CKWD0242,WOOD STAND (BROWN) ,15.5", 1.3 
CKWD0243,WOOD STAND (WHITE),15.5", 1.3 
CKWD0244,WOODERN CHESS BOARD WOTH BRASS COINS,11.5", 1.5 
CKWD0246,ELEPHANT BRACKET (M.COLOUR),15", 1.4 
CKWD0247,ELEPHANT BRACKET (M.COLOUR),15", 1.7 
CKWD0248,PARROT BRACKET (M.COLOUR),18", 1.8 
CKWD0249,PARROT BRACKET (M.COLOUR),18", 1.4 
CKWD0257,GLS PANEL (M.C),29"x12", 4.6 
CKWD0259,SANGU CHAKARAM BALAJI PANEL (R.W),23"x6", 1.6 
CKWD0264,BOTHIL WALL BRACKETS (COLOUR),6", 0.35 
CKWD0265,BOTHIL WALL BRACKETS (COLOUR),6", 0.35 
CKWD0266,BOTHIL WALL BRACKETS (COLOUR),6", 0.25 
CKWD0267,BOTHIL WALL BRACKETS (COLOUR),6", 0.25 
CKWD0269,BOX PALLANGUZHI (R.W),23", 1.6 
CKWD0271,PEACOCK WALL BRACKETS (COLOUR),13", 1.1 
CKWD0272,PEACOCK WALL BRACKETS (COLOUR),13", 0.8 
CKWD0274,RELAXING GANESH (COLOUR),8.5", 2.67 
CKWD0275,PARROT STAND (COLOUR),12.5", 1.43 
CKWD0276,PARROT STAND 2 ROW (COLOUR),23", 2.99 
CKWD0281,ANNAM PALLANGUZHI ,9", 2.46 
CKWD0283,CHESS BOARD WITH WOOD COINS,16"x16", 1.65 
CKWD0284,GANESH WITH ARCH (COLOUR),24", 8.15 
CKWD0285,GANESH SPL,12", 1.11 
CKWD0286,GANESH ARCH SPL,12", 1.81 
CKWD0287,LAKSHMI SPL,12", 1.23 
CKWD0288,KRISHANA SPL,12", 1.35 
CKWD0289,BALAJI SPL WALL HANGING,12", 0.88 
CKWD0290,SITTING HANUMAN,9.5", 0.86 
CKWD0291,MURUGAN ARCH,18", 2.91 
CKWD0292,KRISHANA FLUTE WITH COW SPL,24", 5.32 
CKWD0294,GANESH WITH ARCH (COLOUR) SPL,36", 11.92 
CKWD0295,KRISHNA WITH COW WALL HANGING (ANTIQUE COLOUR),17.5", 1.64 
CKWD0296,MURUGAN WITH VALI DEVAYANI (COLOUR),12", 1.23 
